Round,Accuracy
0,0.10362116991643454
1,0.15682451253481894
2,0.18816155988857938
3,0.397075208913649
4,0.15097493036211698
5,0.2598885793871866
6,0.04721448467966574
7,0.2594707520891365
8,0.354874651810585
9,0.3211699164345404
10,0.25696378830083566
11,0.25571030640668524
12,0.4101671309192201
13,0.2298050139275766
14,0.15974930362116993
15,0.08272980501392757
16,0.08454038997214484
17,0.13161559888579388
18,0.20974930362116992
19,0.1998607242339833
20,0.24206128133704735
21,0.08286908077994429
22,0.05222841225626741
23,0.2402506963788301
24,0.347075208913649
25,0.18704735376044568
26,0.4051532033426184
27,0.21963788300835654
28,0.4976323119777159
29,0.5043175487465181
30,0.05905292479108635
31,0.2937325905292479
32,0.28746518105849583
33,0.35473537604456823
34,0.08593314763231198
35,0.18481894150417827
36,0.17493036211699164
37,0.10264623955431755
38,0.352924791086351
39,0.3448467966573816
40,0.41114206128133707
41,0.21350974930362118
42,0.42618384401114207
43,0.2798050139275766
44,0.5412256267409471
45,0.35
46,0.3824512534818941
47,0.3256267409470752
48,0.31016713091922005
49,0.2753481894150418
50,0.1426183844011142
51,0.38593314763231196
52,0.18481894150417827
53,0.3309192200557103
54,0.28161559888579385
55,0.2682451253481894
56,0.285933147632312
57,0.18119777158774372
58,0.2582172701949861
59,0.20988857938718664
60,0.3967966573816156
61,0.24958217270194985
62,0.42395543175487466
63,0.3247910863509749
64,0.2416434540389972
65,0.3746518105849582
66,0.48746518105849584
67,0.3605849582172702
68,0.22938718662952645
69,0.24289693593314762
70,0.4105849582172702
71,0.23161559888579386
72,0.32047353760445685
73,0.34094707520891365
74,0.1756267409470752
75,0.38050139275766015
76,0.25877437325905295
77,0.466991643454039
78,0.21225626740947076
79,0.22855153203342618
80,0.21476323119777158
81,0.2743732590529248
82,0.33189415041782727
83,0.4011142061281337
84,0.501949860724234
85,0.08495821727019498
86,0.23718662952646238
87,0.26239554317548747
88,0.43454038997214484
89,0.31058495821727017
90,0.3374651810584958
91,0.2658774373259053
92,0.29958217270194987
93,0.3348189415041783
94,0.1575208913649025
95,0.38955431754874653
96,0.2967966573816156
97,0.16796657381615598
98,0.20807799442896935
99,0.36782729805013925
100,0.5204735376044568
