Round,Accuracy
0,0.07813370473537605
1,0.08245125348189415
2,0.09693593314763231
3,0.26100278551532036
4,0.3129526462395543
5,0.43245125348189417
6,0.3573816155988858
7,0.5881615598885794
8,0.536908077994429
9,0.6572423398328691
10,0.5311977715877437
11,0.5233983286908078
12,0.6136490250696379
13,0.5736768802228412
14,0.48885793871866295
15,0.6190807799442897
16,0.579108635097493
17,0.5697771587743733
18,0.6334261838440112
19,0.6654596100278551
20,0.512116991643454
21,0.5740947075208913
22,0.5149025069637883
23,0.5722841225626741
24,0.5424791086350975
25,0.6738161559888579
26,0.6885793871866295
27,0.6229805013927576
28,0.6721448467966574
29,0.6072423398328691
30,0.675208913649025
31,0.6266016713091922
32,0.615041782729805
33,0.6880222841225627
34,0.5745125348189415
35,0.5447075208913649
36,0.6636490250696379
37,0.6110027855153203
38,0.6942896935933147
39,0.5848189415041782
40,0.591225626740947
41,0.7065459610027855
42,0.42952646239554315
43,0.6867688022284123
44,0.655849582172702
45,0.5309192200557104
46,0.6377437325905293
47,0.5247910863509749
48,0.5356545961002785
49,0.5618384401114206
50,0.4210306406685237
51,0.5590529247910864
52,0.4813370473537604
53,0.6445682451253482
54,0.5995821727019499
55,0.6285515320334262
56,0.5934540389972145
57,0.6233983286908078
58,0.6384401114206129
59,0.633008356545961
60,0.5824512534818942
61,0.6456824512534819
62,0.6444289693593315
63,0.49066852367688024
64,0.4387186629526462
65,0.5956824512534818
66,0.4813370473537604
67,0.6768802228412256
68,0.42353760445682453
69,0.5324512534818941
70,0.5873259052924791
71,0.5834261838440111
72,0.674791086350975
73,0.5643454038997214
74,0.6264623955431755
75,0.466991643454039
76,0.507242339832869
77,0.5079387186629526
78,0.3412256267409471
79,0.6123955431754875
80,0.49749303621169916
81,0.46963788300835657
82,0.3112813370473538
83,0.5559888579387187
84,0.4459610027855153
85,0.4927576601671309
86,0.17061281337047354
87,0.3818941504178273
88,0.2725626740947075
89,0.5437325905292479
90,0.4168523676880223
91,0.2916434540389972
92,0.4107242339832869
93,0.502924791086351
94,0.348050139275766
95,0.17325905292479107
96,0.4419220055710306
97,0.30877437325905294
98,0.3522284122562674
99,0.4554317548746518
100,0.3743732590529248
