Round,Accuracy
0,0.0764623955431755
1,0.08245125348189415
2,0.0883008356545961
3,0.17172701949860725
4,0.08899721448467966
5,0.117966573816156
6,0.17172701949860725
7,0.18844011142061282
8,0.23857938718662952
9,0.2713091922005571
10,0.15891364902506963
11,0.2717270194986072
12,0.29011142061281336
13,0.2740947075208914
14,0.32590529247910865
15,0.44164345403899724
16,0.32186629526462396
17,0.2466573816155989
18,0.34401114206128136
19,0.33328690807799444
20,0.3912256267409471
21,0.362116991643454
22,0.3910863509749304
23,0.19094707520891366
24,0.4387186629526462
25,0.4551532033426184
26,0.4242339832869081
27,0.20139275766016712
28,0.3541782729805014
29,0.46545961002785513
30,0.3873259052924791
31,0.3416434540389972
32,0.46114206128133706
33,0.26740947075208915
34,0.333983286908078
35,0.4136490250696379
36,0.42938718662952646
37,0.39401114206128135
38,0.37715877437325906
39,0.38551532033426184
40,0.29303621169916433
41,0.4637883008356546
42,0.2501392757660167
43,0.3497214484679666
44,0.3203342618384401
45,0.5389972144846796
46,0.3733983286908078
47,0.3757660167130919
48,0.40139275766016713
49,0.3286908077994429
50,0.4759052924791086
51,0.3901114206128134
52,0.1596100278551532
53,0.5058495821727019
54,0.522841225626741
55,0.3221448467966574
56,0.4434540389972145
57,0.2988857938718663
58,0.5454038997214484
59,0.563091922005571
60,0.41852367688022285
61,0.34874651810584956
62,0.3321727019498607
63,0.3883008356545961
64,0.5920612813370474
65,0.5792479108635098
66,0.36963788300835654
67,0.4722841225626741
68,0.49707520891364904
69,0.47158774373259055
70,0.43760445682451254
71,0.45153203342618387
72,0.3892757660167131
73,0.5293871866295264
74,0.5389972144846796
75,0.5071030640668523
76,0.5027855153203342
77,0.5057103064066852
78,0.3476323119777159
79,0.3969359331476323
80,0.49415041782729807
81,0.6259052924791086
82,0.5227019498607243
83,0.40598885793871864
84,0.4532033426183844
85,0.4905292479108635
86,0.36545961002785515
87,0.39958217270194984
88,0.3711699164345404
89,0.6015320334261839
90,0.2817548746518106
91,0.49415041782729807
92,0.5161559888579387
93,0.3384401114206128
94,0.4626740947075209
95,0.3958217270194986
96,0.33105849582172703
97,0.28231197771587746
98,0.2912256267409471
99,0.4575208913649025
100,0.24763231197771587
