Round,Accuracy
0,0.12938718662952647
1,0.08245125348189415
2,0.2732590529247911
3,0.1871866295264624
4,0.19860724233983287
5,0.2926183844011142
6,0.5130919220055711
7,0.2383008356545961
8,0.3753481894150418
9,0.3413649025069638
10,0.33189415041782727
11,0.4341225626740947
12,0.3190807799442897
13,0.42952646239554315
14,0.5162952646239555
15,0.5770194986072423
16,0.31462395543175486
17,0.41044568245125346
18,0.38008356545961003
19,0.2724233983286908
20,0.31866295264623956
21,0.5811977715877438
22,0.43802228412256267
23,0.5073816155988858
24,0.5970752089136491
25,0.3383008356545961
26,0.28467966573816156
27,0.5030640668523677
28,0.44623955431754875
29,0.7278551532033426
30,0.38050139275766015
31,0.5442896935933148
32,0.41350974930362117
33,0.47520891364902507
34,0.3934540389972145
35,0.48523676880222844
36,0.45891364902506965
37,0.6277158774373259
38,0.3883008356545961
39,0.5486072423398328
40,0.7321727019498607
41,0.6646239554317549
42,0.44986072423398327
43,0.5426183844011142
44,0.664066852367688
45,0.445125348189415
46,0.6493036211699165
47,0.5949860724233983
48,0.2614206128133705
49,0.5079387186629526
50,0.30153203342618384
51,0.6337047353760445
52,0.5069637883008357
53,0.5103064066852367
54,0.5309192200557104
55,0.5984679665738162
56,0.5610027855153203
57,0.4065459610027855
58,0.6059888579387187
59,0.49206128133704735
60,0.584958217270195
61,0.7144846796657381
62,0.48844011142061283
63,0.41545961002785514
64,0.4754874651810585
65,0.4831476323119777
66,0.6399721448467967
67,0.31824512534818944
68,0.5383008356545961
69,0.41211699164345406
70,0.45389972144846796
71,0.634958217270195
72,0.6335654596100279
73,0.5966573816155989
74,0.5565459610027855
75,0.6399721448467967
76,0.6772980501392758
77,0.5667130919220056
78,0.6956824512534819
79,0.6731197771587744
80,0.43119777158774375
81,0.6818941504178273
82,0.7185236768802229
83,0.4286908077994429
84,0.5727019498607242
85,0.7045961002785516
86,0.6763231197771588
87,0.42952646239554315
88,0.5012534818941504
89,0.5555710306406685
90,0.7743732590529248
91,0.5066852367688023
92,0.5547353760445682
93,0.650974930362117
94,0.6089136490250696
95,0.6093314763231198
96,0.5282729805013927
97,0.7856545961002785
98,0.6371866295264624
99,0.4949860724233983
100,0.4115598885793872
