Round,Accuracy
0,0.19351066939491376
1,0.36977491961414793
2,0.4744226834258989
3,0.7518269511838643
4,0.8345513007892429
5,0.8479976615024847
6,0.8687518269511839
7,0.8857059339374452
8,0.8631978953522362
9,0.8716749488453669
10,0.8722595732242034
11,0.827828120432622
12,0.8883367436422098
13,0.9032446653025431
14,0.819935691318328
15,0.9117217187956738
16,0.8731365097924584
17,0.8684595147617655
18,0.9201987722888044
19,0.848289973691903
20,0.9163987138263665
21,0.8930137386729027
22,0.9017831043554516
23,0.8956445483776674
24,0.9178602747734581
25,0.9061677871967261
26,0.9245834551300789
27,0.909967845659164
28,0.9207833966676411
29,0.9207833966676411
30,0.912890967553347
31,0.9228295819935691
32,0.92955276235019
33,0.8982753580824321
34,0.9237065185618241
35,0.9020754165448699
36,0.9333528208126279
37,0.8944752996199942
38,0.907044723764981
39,0.9231218941829874
40,0.8868751826951183
41,0.9237065185618241
42,0.9292604501607717
43,0.9269219526454253
44,0.9131832797427653
45,0.9029523531131248
46,0.9348143817597194
47,0.8921368021046477
48,0.9348143817597194
49,0.9166910260157849
50,0.9181525869628764
51,0.932475884244373
52,0.9234142063724057
53,0.9052908506284713
54,0.9204910844782227
55,0.8345513007892429
56,0.9389067524115756
57,0.9219526454253142
58,0.932475884244373
59,0.9184448991522947
60,0.9251680795089156
61,0.9292604501607717
62,0.9064600993861444
63,0.9207833966676411
64,0.9248757673194973
65,0.9260450160771704
66,0.9155217772581117
67,0.9143525285004385
68,0.9082139725226542
69,0.9406606255480854
70,0.9029523531131248
71,0.9289681379713534
72,0.9234142063724057
73,0.9394913767904122
74,0.9190295235311312
75,0.9085062847120725
76,0.9175679625840397
77,0.9342297573808828
78,0.9298450745396083
79,0.9359836305173925
80,0.9351066939491377
81,0.9248757673194973
82,0.914937152879275
83,0.9359836305173925
84,0.9234142063724057
85,0.9292604501607717
86,0.9330605086232096
87,0.8848289973691903
88,0.926629640456007
89,0.9359836305173925
90,0.9134755919321835
91,0.9362759427068109
92,0.9394913767904122
93,0.9304296989184448
94,0.9190295235311312
95,0.9389067524115756
96,0.9394913767904122
97,0.9222449576147326
98,0.9333528208126279
99,0.937445191464484
100,0.9052908506284713
