Round,Accuracy
0,0.1446700507614213
1,0.14885786802030457
2,0.23701353637901862
3,0.2369077834179357
4,0.36787225042301186
5,0.3208121827411167
6,0.32540186125211507
7,0.16844331641285956
8,0.23813451776649747
9,0.320748730964467
10,0.320748730964467
11,0.25431472081218276
12,0.3251057529610829
13,0.14887901861252115
14,0.14936548223350254
15,0.3591793570219966
16,0.33151438240270725
17,0.3333756345177665
18,0.15336294416243654
19,0.3218908629441624
20,0.2132191201353638
21,0.3625846023688663
22,0.24477580372250424
23,0.18724619289340103
24,0.3047377326565144
25,0.10962351945854484
26,0.24583333333333332
27,0.3264593908629442
28,0.29661590524534687
29,0.3409052453468697
30,0.18500423011844333
31,0.34287225042301184
32,0.38472927241962773
33,0.18978426395939085
34,0.19959813874788493
35,0.23722504230118444
36,0.36233079526226736
37,0.1824450084602369
38,0.38132402707275803
39,0.35592216582064296
40,0.36340947546531305
41,0.38094331641285956
42,0.23718274111675128
43,0.31645516074450086
44,0.28248730964467006
45,0.3743866328257191
46,0.29959813874788493
47,0.36116751269035535
48,0.26571489001692045
49,0.2471869712351946
50,0.11224619289340101
51,0.35418781725888326
52,0.344331641285956
53,0.30228426395939084
54,0.39532571912013537
55,0.3419839255499154
56,0.2286590524534687
57,0.24619289340101522
58,0.390080372250423
59,0.19344331641285956
60,0.20135363790186125
61,0.3072335025380711
62,0.2533840947546531
63,0.13166243654822335
64,0.23828257191201355
65,0.18168358714043994
66,0.4131133671742809
67,0.2689509306260575
68,0.22176395939086294
69,0.3705160744500846
70,0.2965736040609137
71,0.3248307952622673
72,0.10346869712351946
73,0.26971235194585447
74,0.355160744500846
75,0.3404187817258883
76,0.2565355329949239
77,0.2753595600676819
78,0.09773688663282572
79,0.30336294416243653
80,0.2973773265651438
81,0.17969543147208122
82,0.15846023688663283
83,0.3586505922165821
84,0.42601522842639594
85,0.19739847715736042
86,0.2397419627749577
87,0.2973984771573604
88,0.25571065989847713
89,0.19329526226734348
90,0.19145516074450084
91,0.18130287648054144
92,0.15416666666666667
93,0.34206852791878173
94,0.17684010152284263
95,0.2864213197969543
96,0.2760575296108291
97,0.3864213197969543
98,0.2613578680203046
99,0.3513747884940778
100,0.15717005076142132
