Round,Accuracy
0,0.06664717918737212
1,0.0912014030985092
2,0.09090909090909091
3,0.17041800643086816
4,0.1824028061970184
5,0.2356036246711488
6,0.21543408360128619
7,0.25109617071031864
8,0.23677287342882197
9,0.3256357790119848
10,0.19789535223618826
11,0.24349605378544284
12,0.3346974568839521
13,0.16983338205203158
14,0.2589885998246127
15,0.33557439345220696
16,0.30838935983630517
17,0.3668517977199649
18,0.35632855890090614
19,0.07775504238526747
20,0.2776965799473838
21,0.24086524408067816
22,0.47149956153171585
23,0.29552762350190004
24,0.3051739257527039
25,0.38965214849459223
26,0.1400175387313651
27,0.27097339959076294
28,0.09704764688687519
29,0.31715872551885416
30,0.3028354282373575
31,0.2092955276235019
32,0.3981292019877229
33,0.22449576147325342
34,0.4016369482607425
35,0.22011107863197896
36,0.20637240572931892
37,0.20228003507746273
38,0.25051154633148204
39,0.22946506869336453
40,0.34726688102893893
41,0.33586670564162524
42,0.4191756796258404
43,0.3525285004384683
44,0.3566208710903245
45,0.35632855890090614
46,0.3121894182987431
47,0.33820520315697167
48,0.43379128909675535
49,0.2850043846828413
50,0.5036539023677288
51,0.388482899736919
52,0.3925752703887752
53,0.2554808535515931
54,0.3291435252850044
55,0.2619117217187957
56,0.31335866705641624
57,0.3466822566501023
58,0.4329143525285004
59,0.22712657117801813
60,0.49722303420052616
61,0.34726688102893893
62,0.36100555393159894
63,0.21543408360128619
64,0.40192926045016075
65,0.3259280912014031
66,0.35983630517392573
67,0.40397544577608885
68,0.22712657117801813
69,0.39637532885121307
70,0.3665594855305466
71,0.5390236772873429
72,0.2972814966384098
73,0.5442852966968723
74,0.44606840105232387
75,0.3668517977199649
76,0.4370067231803566
77,0.467699503069278
78,0.5048231511254019
79,0.5141771411867875
80,0.5211926337328266
81,0.4717918737211342
82,0.5390236772873429
83,0.4644840689856767
84,0.2320958783981292
85,0.5007307804735458
86,0.40543700672318034
87,0.5273311897106109
88,0.3572054954691611
89,0.4758842443729904
90,0.41011400175387314
91,0.529377375036539
92,0.3683133586670564
93,0.4884536685179772
94,0.5913475591932184
95,0.278865828705057
96,0.34726688102893893
97,0.5162233265127156
98,0.5726395790704473
99,0.5828705057000877
100,0.3762057877813505
