Round,Accuracy
0,0.09178602747734581
1,0.17071031862028646
2,0.19467991815258695
3,0.10347851505407775
4,0.20257234726688103
5,0.2896813797135341
6,0.2706810874013446
7,0.32066647179187374
8,0.2741888336743642
9,0.3949137679041216
10,0.38351359251680794
11,0.38731365097924586
12,0.33791289096755334
13,0.33294358374744226
14,0.49809997076878104
15,0.5369774919614148
16,0.5732242034492838
17,0.6275942706810874
18,0.5460391698333821
19,0.5893013738672903
20,0.6422098801520023
21,0.641917567962584
22,0.6164864074831921
23,0.6582870505700088
24,0.5551008477053493
25,0.6714410990938322
26,0.5983630517392575
27,0.6708564747149957
28,0.6045016077170418
29,0.7135340543700672
30,0.5317158725518855
31,0.7345805320081847
32,0.7453960830166618
33,0.6305173925752704
34,0.6273019584916691
35,0.752411575562701
36,0.707395498392283
37,0.7804735457468577
38,0.7266881028938906
39,0.7062262496346098
40,0.7667348728441976
41,0.6150248465361006
42,0.7620578778135049
43,0.779888921368021
44,0.6711487869044139
45,0.6711487869044139
46,0.6752411575562701
47,0.7550423852674657
48,0.732826658871675
49,0.6919029523531132
50,0.6746565331774335
51,0.7512423268050278
52,0.7550423852674657
53,0.7731657410114001
54,0.7366267173341128
55,0.7442268342589886
56,0.7442268342589886
57,0.8041508330897399
58,0.7363344051446945
59,0.7760888629055832
60,0.8050277696579947
61,0.7757965507161648
62,0.7605963168664134
63,0.7559193218357205
64,0.7486115171002631
65,0.7717041800643086
66,0.7956737795966092
67,0.7997661502484653
68,0.794504530838936
69,0.7684887459807074
70,0.8181818181818182
71,0.4840689856767027
72,0.7527038877521193
73,0.7877813504823151
74,0.7819351066939492
75,0.6293481438175972
76,0.808243203741596
77,0.7892429114294066
78,0.8015200233849752
79,0.8213972522654195
80,0.7883659748611517
81,0.8251973107278574
82,0.8208126278865828
83,0.7497807658579363
84,0.782812043262204
85,0.8181818181818182
86,0.8064893306050862
87,0.797427652733119
88,0.776965799473838
89,0.8351359251680796
90,0.7801812335574393
91,0.726980415083309
92,0.8193510669394913
93,0.7731657410114001
94,0.7971353405437007
95,0.7985969014907922
96,0.8047354574685764
97,0.8231511254019293
98,0.8298743057585501
99,0.8158433206664718
100,0.7895352236188249
