Round,Accuracy
0,0.10939086294416243
1,0.05258037225042301
2,0.3937605752961083
3,0.3902072758037225
4,0.29016497461928936
5,0.2969331641285956
6,0.18741539763113368
7,0.26051184433164126
8,0.4833967851099831
9,0.5003172588832487
10,0.48946700507614216
11,0.4834602368866328
12,0.4029187817258883
13,0.23073181049069375
14,0.5504441624365483
15,0.5490059221658207
16,0.4990482233502538
17,0.4831218274111675
18,0.48790186125211504
19,0.2101522842639594
20,0.3873730964467005
21,0.44826565143824026
22,0.3337774957698816
23,0.48923434856175974
24,0.5619289340101523
25,0.37772842639593907
26,0.48965736040609137
27,0.35535109983079527
28,0.4148900169204738
29,0.523582910321489
30,0.5425338409475465
31,0.5145516074450085
32,0.43271996615905245
33,0.5411802030456853
34,0.34725042301184433
35,0.4519881556683587
36,0.48181049069373943
37,0.44475465313028767
38,0.49003807106598984
39,0.5722927241962775
40,0.4121827411167513
41,0.47876480541455163
42,0.5484348561759729
43,0.5376269035532995
44,0.3958967851099831
45,0.47766497461928936
46,0.5395093062605752
47,0.32846869712351945
48,0.38792301184433164
49,0.4557318104906937
50,0.5131133671742809
51,0.538515228426396
52,0.4535109983079526
53,0.5241116751269036
54,0.27151015228426395
55,0.48912859560067684
56,0.3786802030456853
57,0.5238155668358714
58,0.42019881556683586
59,0.5050126903553299
60,0.45892554991539763
61,0.5260998307952622
62,0.4718485617597293
63,0.5250846023688663
64,0.36503807106598984
65,0.3793570219966159
66,0.5561971235194585
67,0.35393401015228426
68,0.3282360406091371
69,0.2384517766497462
70,0.5505076142131979
71,0.5418358714043994
72,0.4272208121827411
73,0.4994500846023689
74,0.28582910321489
75,0.5409475465313028
76,0.38980541455160744
77,0.4114847715736041
78,0.447673434856176
79,0.3733714043993232
80,0.4654822335025381
81,0.4276649746192893
82,0.5609983079526226
83,0.49458544839255497
84,0.5288494077834179
85,0.5131556683587141
86,0.49014382402707274
87,0.5246192893401015
88,0.5318527918781726
89,0.5127961082910322
90,0.45156514382402707
91,0.3448604060913706
92,0.5280033840947547
93,0.5019458544839256
94,0.4232868020304569
95,0.46220389170896786
96,0.5714255499153976
97,0.5438874788494078
98,0.5895304568527919
99,0.5292724196277496
100,0.4995346869712352
