Round,Accuracy
0,0.10626740947075208
1,0.3271587743732591
2,0.5376044568245125
3,0.3243732590529248
4,0.3201949860724234
5,0.5970752089136491
6,0.5842618384401114
7,0.4337047353760446
8,0.3955431754874652
9,0.4469359331476323
10,0.41225626740947074
11,0.2732590529247911
12,0.5665738161559889
13,0.26573816155988855
14,0.2318941504178273
15,0.36323119777158774
16,0.6729805013927577
17,0.3456824512534819
18,0.4937325905292479
19,0.5419220055710307
20,0.6802228412256267
21,0.7385793871866295
22,0.6778551532033427
23,0.37005571030640666
24,0.700974930362117
25,0.3107242339832869
26,0.3288300835654596
27,0.6105849582172702
28,0.5636490250696379
29,0.5286908077994429
30,0.5051532033426184
31,0.3767409470752089
32,0.7220055710306407
33,0.6203342618384401
34,0.7151810584958217
35,0.6987465181058495
36,0.4909470752089137
37,0.32172701949860727
38,0.6603064066852368
39,0.5779944289693594
40,0.7437325905292479
41,0.6693593314763231
42,0.6183844011142061
43,0.6279944289693593
44,0.717966573816156
45,0.699025069637883
46,0.6778551532033427
47,0.7356545961002785
48,0.46392757660167133
49,0.5818941504178273
50,0.7236768802228413
51,0.7062674094707521
52,0.4845403899721448
53,0.5653203342618385
54,0.7267409470752089
55,0.6927576601671309
56,0.5905292479108635
57,0.6360724233983287
58,0.704874651810585
59,0.6749303621169916
60,0.5958217270194986
61,0.6618384401114206
62,0.7394150417827298
63,0.5373259052924791
64,0.7213091922005571
65,0.6110027855153203
66,0.4596100278551532
67,0.4473537604456824
68,0.5598885793871866
69,0.46894150417827296
70,0.5674094707520891
71,0.8072423398328691
72,0.35278551532033425
73,0.4745125348189415
74,0.7034818941504178
75,0.7821727019498608
76,0.7979108635097493
77,0.7158774373259053
78,0.3267409470752089
79,0.8232590529247911
80,0.6763231197771588
81,0.7937325905292479
82,0.5073816155988858
83,0.7441504178272981
84,0.7281337047353761
85,0.7447075208913649
86,0.581058495821727
87,0.7376044568245126
88,0.70974930362117
89,0.6810584958217271
90,0.6873259052924791
91,0.6573816155988857
92,0.6714484679665739
93,0.7452646239554318
94,0.766991643454039
95,0.8399721448467966
96,0.5448467966573816
97,0.6314763231197772
98,0.536908077994429
99,0.7366295264623955
100,0.8672701949860724
