Round,Accuracy
0,0.06393824027072759
1,0.22673434856175972
2,0.07554991539763113
3,0.35285532994923857
4,0.34475465313028764
5,0.2753172588832487
6,0.34670050761421317
7,0.14923857868020304
8,0.22210236886632825
9,0.35537225042301185
10,0.25361675126903555
11,0.41135786802030455
12,0.3540186125211506
13,0.2337140439932318
14,0.3496404399323181
15,0.4326776649746193
16,0.14930203045685278
17,0.4785321489001692
18,0.3929568527918782
19,0.22449238578680203
20,0.32290609137055837
21,0.3993231810490694
22,0.45865059221658205
23,0.2401226734348562
24,0.35670473773265654
25,0.40552030456852795
26,0.47062182741116754
27,0.4767766497461929
28,0.3321700507614213
29,0.34223773265651436
30,0.5081641285956007
31,0.31774534686971234
32,0.41634940778341795
33,0.19052453468697123
34,0.39094754653130287
35,0.452326565143824
36,0.2999153976311337
37,0.41787225042301185
38,0.3888536379018612
39,0.4120135363790186
40,0.16294416243654822
41,0.3515016920473773
42,0.4944373942470389
43,0.27392131979695433
44,0.3492597292724196
45,0.3815355329949239
46,0.3968908629441624
47,0.26605329949238576
48,0.42282148900169203
49,0.39130710659898477
50,0.44067258883248733
51,0.46660321489001694
52,0.46089255499153975
53,0.26679357021996614
54,0.41065989847715734
55,0.46584179357022
56,0.4141497461928934
57,0.37950507614213197
58,0.37032571912013534
59,0.45040186125211507
60,0.35133248730964467
61,0.15016920473773265
62,0.3463620981387479
63,0.43458121827411167
64,0.5194162436548223
65,0.4102157360406091
66,0.44282994923857866
67,0.3489847715736041
68,0.38980541455160744
69,0.3343062605752961
70,0.3834179357021997
71,0.5197123519458545
72,0.5433375634517766
73,0.13413705583756344
74,0.3991539763113367
75,0.4135575296108291
76,0.3883460236886633
77,0.499746192893401
78,0.46053299492385785
79,0.47732656514382404
80,0.3921954314720812
81,0.4190989847715736
82,0.42620558375634515
83,0.24143401015228427
84,0.4871404399323181
85,0.29591793570219965
86,0.34115905245346867
87,0.39276649746192893
88,0.42366751269035535
89,0.2654610829103215
90,0.41618020304568526
91,0.4031937394247039
92,0.29065143824027073
93,0.5409263959390863
94,0.22648054145516075
95,0.2587351945854484
96,0.23140862944162435
97,0.5335236886632826
98,0.42163705583756345
99,0.4845389170896785
100,0.22409052453468697
